DATE,CODE,PUBLISHER,TITLE,PRICE
03/22/23,JAN231275,A WAVE BLUE WORLD,Tower #2 (Of 5)(Cover A Loyiso Mkize & Andrew Dalhouse),$4.99 
03/22/23,JAN231276,A WAVE BLUE WORLD,Tower #2 (Of 5)(Cover B Loyiso Mkize & Andrew Dalhouse Virgin Variant)(not verified by Diamond Distribution),AR
03/22/23,JAN231145,ABRAMS COMICARTS,Marvel Value Stamps A Visual History HC,$29.99 
03/22/23,JAN231155,ACONYTE,Marvel Heroines Novel Silver Sable Payback SC,$16.95 
03/22/23,JAN231222,AMULET BOOKS,Batcat Volume 1 GN,$13.99 
03/22/23,JAN231226,ANDREWS MCMEEL,Bright Family Volume 2 Family Vacation GN,$12.99
03/22/23,JAN231227,ANDREWS MCMEEL,Bright Family Volume 2 Family Vacation HC,$21.99 
03/22/23,NOV221276,ANTARCTIC PRESS,Exciting Comics #32,$4.99 
03/22/23,APR221244,ANTARCTIC PRESS,Gold Digger #296,$3.99 
03/22/23,OCT221386,ANTARCTIC PRESS,Ninja High School #186,$4.99 
03/22/23,DEC221129,ANTARCTIC PRESS,Spectreman Heroes #5 (Of 5)(Cover A Hiroshi Kanatani),$4.99 
03/22/23,DEC221130,ANTARCTIC PRESS,Spectreman Heroes #5 (Of 5)(Cover B Jeff Zornow),$9.99 
03/22/23,JAN231231,ARCHIE COMIC PUBLICATIONS,Archie Decades The 1960s TP,$11.99 
03/22/23,JAN231229,ARCHIE COMIC PUBLICATIONS,Chilling Adventures Presents Pop's Chock'lit Shoppe Of Horrors #1 (One Shot)(Cover A Adam Gorham),$3.99 
03/22/23,JAN231230,ARCHIE COMIC PUBLICATIONS,Chilling Adventures Presents Pop's Chock'lit Shoppe Of Horrors #1 (One Shot)(Cover B Francesco Francavilla),$3.99 
03/22/23,NOV221293,ASPEN COMICS,Batman #125 Cover A & D Michael Turner Set,$59.99 
03/22/23,JAN231274,ATRIA BOOKS,Ringmaster Vince McMahon And The Unmaking Of America HC,$29.99 
03/22/23,FEB231200,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set A (5 Count),$19.99
03/22/23,FEB231201,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set B (5 Count),$19.99
03/22/23,FEB231202,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set C (5 Count),$19.99
03/22/23,FEB231203,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set D (5 Count),$19.99
03/22/23,FEB231204,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set E (5 Count),$19.99
03/22/23,FEB231205,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set F (5 Count),$19.99
03/22/23,FEB231196,AVATAR PRESS,Escape Of The Living Dead Nightmares Covers Bag Set (5 Count),$19.99
03/22/23,FEB231198,AVATAR PRESS,Garth Ennis 303 Platinum Foil Covers Bag Set (6 Count),$19.99 
03/22/23,FEB231195,AVATAR PRESS,Living Dead Leather Covers Bag Set (3 Count),$24.99
03/22/23,FEB231194,AVATAR PRESS,Night Of The Living Dead Rotting Covers Bag Set (5 Count),$19.99
03/22/23,FEB231242,AVATAR PRESS,Ravening Bloody Covers Bag Set (5 Count),$19.99
03/22/23,FEB231199,AVATAR PRESS,Streets Of Glory Platinum Foil Covers Bag Set (6 Count),$19.99
03/22/23,FEB231197,AVATAR PRESS,Uber Terrors Covers Bag Set (5 Count),$19.99
03/22/23,OCT221476,BAD KIDS PRESS,Adventures Of GWF #1 (Cover B Bill Imbrogna Raul The Third Variant),AR
03/22/23,OCT221480,BAD KIDS PRESS,Katie Black Dragon #1 (Cover B David Brame),AR
03/22/23,OCT221482,BAD KIDS PRESS,Stealing Oz #4 (Of 4),$5.99 
03/22/23,FEB231217,BEEHIVE BOOKS,Kwaidan Collection HC,$100.00 
03/22/23,FEB221309,BLACK MASK STUDIOS,Destiny NY #13,$3.99
03/22/23,JAN231389,BLOOD MOON COMICS,Pop-Up #1 (Of 4),$4.99 
03/22/23,NOV220370,BOOM! STUDIOS,Basilisk Volume 3 TP,$14.99
03/22/23,JAN230366,BOOM! STUDIOS,Damn Them All #6 (Of 6)(Cover A Charlie Adlard),$3.99
03/22/23,JAN230367,BOOM! STUDIOS,Damn Them All #6 (Of 6)(Cover B Matias Bergara),$3.99
03/22/23,JAN230368,BOOM! STUDIOS,Damn Them All #6 (Of 6)(Cover C Charlie Adlard Virgin Variant),AR
03/22/23,JAN230369,BOOM! STUDIOS,Damn Them All #6 (Of 6)(Cover D Raul Allen Reveal Black/White/Red Virgin Variant),AR
03/22/23,JAN230370,BOOM! STUDIOS,Damn Them All #6 (Of 6)(Cover E Raul Allen Reveal Variant),AR
03/22/23,JAN230371,BOOM! STUDIOS,Damn Them All #6 (Of 6)(Cover F Matias Bergara Virgin Variant),AR
03/22/23,JAN230376,BOOM! STUDIOS,Dune House Harkonnen #3 (Of 12)(Cover A Raymond Swanland),$4.99
03/22/23,JAN230377,BOOM! STUDIOS,Dune House Harkonnen #3 (Of 12)(Cover B Reiko Murakami),$4.99
03/22/23,JAN230378,BOOM! STUDIOS,Dune House Harkonnen #3 (Of 12)(Cover C Raymond Swanland Virgin Variant),AR
03/22/23,JAN230379,BOOM! STUDIOS,Dune House Harkonnen #3 (Of 12)(Cover D Tiffany Turrill Virgin Variant),AR
03/22/23,JAN230380,BOOM! STUDIOS,Dune House Harkonnen #3 (Of 12)(Cover E Frany Reveal Variant),AR
03/22/23,JAN230381,BOOM! STUDIOS,Dune House Harkonnen #3 (Of 12)(Cover F Frany Reveal Virgin Variant),AR
03/22/23,JAN230372,BOOM! STUDIOS,Grim #9 (Cover A Flaviano),$3.99
03/22/23,JAN230373,BOOM! STUDIOS,Grim #9 (Cover B Justine Florentino Reaper Variant),$3.99
03/22/23,JAN230374,BOOM! STUDIOS,Grim #9 (Cover C Justine Florentino Reaper Black/White/Red Virgin Variant),AR
03/22/23,JAN230375,BOOM! STUDIOS,Grim #9 (Cover D Marco Checchetto Virgin Variant),AR
03/22/23,JAN230382,BOOM! STUDIOS,Mighty Morphin Power Rangers #106 (Cover A Taurin Clarke),$3.99
03/22/23,JAN230383,BOOM! STUDIOS,Mighty Morphin Power Rangers #106 (Cover B G.B. Borea),$3.99
03/22/23,JAN230384,BOOM! STUDIOS,Mighty Morphin Power Rangers #106 (Cover C Bon Bernardo Action Figure Variant),AR
03/22/23,JAN230385,BOOM! STUDIOS,Mighty Morphin Power Rangers #106 (Cover D G.B. Borea Virgin Variant),AR
03/22/23,JAN230386,BOOM! STUDIOS,Mighty Morphin Power Rangers #106 (Cover E Taurin Clarke Virgin Variant),AR
03/22/23,JAN230302,BOOM! STUDIOS,Neighbors #1 (Of 5)(Cover A Miguel Mercado),$4.99
03/22/23,JAN230303,BOOM! STUDIOS,Neighbors #1 (Of 5)(Cover B Ramon K. Perez Homage Variant),$4.99
03/22/23,JAN230304,BOOM! STUDIOS,Neighbors #1 (Of 5)(Cover C Frany Spot UV Variant),$5.99
03/22/23,JAN230305,BOOM! STUDIOS,Neighbors #1 (Of 5)(Cover D Miguel Mercado Virgin Variant),AR
03/22/23,JAN230306,BOOM! STUDIOS,Neighbors #1 (Of 5)(Cover E Fabio Moon Virgin Variant),AR
03/22/23,JAN230307,BOOM! STUDIOS,Neighbors #1 (Of 5)(Cover F Frany Virgin Variant),AR
03/22/23,JAN230308,BOOM! STUDIOS,Neighbors #1 (Of 5)(Cover G Ariela Kristantina BOOM! Studios Guarantee Variant),AR
03/22/23,FEB231236,BOUNDLESS COMICS,Lady Death Amoral Covers Bag Set (5 Count),$19.99
03/22/23,FEB231237,BOUNDLESS COMICS,Lady Death Craven Covers Bag Set (5 Count),$19.99
03/22/23,FEB231235,BOUNDLESS COMICS,Lady Death Daring Covers Bag Set (5 Count),$19.99
03/22/23,FEB231239,BOUNDLESS COMICS,Lady Death Destiny Covers Bag Set (5 Count),$19.99
03/22/23,FEB231240,BOUNDLESS COMICS,Lady Death Ribald Covers Bag Set (5 Count),$19.99
03/22/23,FEB231238,BOUNDLESS COMICS,Lady Death Wanton Covers Bag Set (5 Count),$19.99
03/22/23,FEB231241,BOUNDLESS COMICS,Lookers POV Covers Bag Set (5 Count),$19.99
03/22/23,FEB231246,BOUNDLESS COMICS,Threshold Allure Luscious Covers Bag Set (4 Count),$19.99
03/22/23,FEB231243,BOUNDLESS COMICS,Threshold Allure Pandora Covers Bag Set (4 Count),$19.99
03/22/23,FEB231249,BOUNDLESS COMICS,Threshold Pandora Huntreess Covers Bag Set (4 Count),$19.99
03/22/23,FEB231247,BOUNDLESS COMICS,Threshold Pandora Mythic Covers Bag Set (4 Count),$19.99
03/22/23,FEB231248,BOUNDLESS COMICS,Unholy Gypsy Gold Foil Covers Bag Set (3 Count),$14.99
03/22/23,FEB231244,BOUNDLESS COMICS,Webwitch Tim Vigil Covers Bag Set (5 Count),$19.99
03/22/23,NOV221368,BROADSWORD COMICS,Tarot Witch Of The Black Rose #66 Classic Bundle,$15.00 
03/22/23,JAN231430,COFFIN COMICS,Lady Death Necrotic Genesis #2 (Of 2)(Cover A Diego Bernard),$5.99
03/22/23,JAN231431,COFFIN COMICS,Lady Death Necrotic Genesis #2 (Of 2)(Cover B Collette Turner Deadly Thoughts Variant),$5.99
03/22/23,JAN231432,COFFIN COMICS,Lady Death Necrotic Genesis #2 (Of 2)(Cover C Billy Tucci Premium Foil Variant),$30.00 
03/22/23,JAN231433,COFFIN COMICS,Lady Death Necrotic Genesis #2 (Of 2)(Cover D Richard Ortiz Naughty Variant),$40.00 
03/22/23,JAN231434,COFFIN COMICS,Lady Death Necrotic Genesis #2 (Of 2)(Cover E Mike Debalfo),AR
03/22/23,JAN231435,COFFIN COMICS,Lady Death Treacherous Infamy #1 (Premiere Edition),$25.00
03/22/23,JAN231440,COMIC SHOP NEWS,Comic Shop News #1857,AR
03/22/23,NOV221374,COMICS EXPERIENCE PUBLISHING,Mother 47 #1 (One Shot)(Cover A Clara Meath),$8.99 
03/22/23,NOV221375,COMICS EXPERIENCE PUBLISHING,Mother 47 #1 (One Shot)(Cover B Zach Howard),$8.99 
03/22/23,NOV221376,COMICS EXPERIENCE PUBLISHING,Mother 47 #1 (One Shot)(Cover C Clara Meath Wraparound Variant),$8.99 
03/22/23,NOV221378,COMICS EXPERIENCE PUBLISHING,Sereno #1 (Cover B Agustina Manso),$5.99 
03/22/23,NOV221379,COMICS EXPERIENCE PUBLISHING,Sereno #1 (Cover C Luciano Vecchio),$5.99 
03/22/23,JAN230436,DARK HORSE COMICS,Blue Book #2 (Of 5)(Cover A Michael Avon Oeming),$4.99
03/22/23,JAN230437,DARK HORSE COMICS,Blue Book #2 (Of 5)(Cover B Josh Hixson),$4.99
03/22/23,JAN230438,DARK HORSE COMICS,Blue Book #2 (Of 5)(Cover C Javier Rodriguez Virgin Variant),AR
03/22/23,NOV220450,DARK HORSE COMICS,Colonel Weird And Little Andromeda HC,$29.99 
03/22/23,SEP220502,DARK HORSE COMICS,Existentially Challenged Novel SC,$12.99
03/22/23,JAN230484,DARK HORSE COMICS,Groo Gods Against Groo #4 (Of 4)(Cover A Sergio Aragones),$3.99
03/22/23,NOV220461,DARK HORSE COMICS,Joe Death And The Graven Image TP,$24.99 
03/22/23,NOV220471,DARK HORSE COMICS,Kings Of Nowhere Volume 2 TP,$19.99 
03/22/23,JAN230412,DARK HORSE COMICS,Order And Outrage #1 (Of 4)(Cover A Rags Morales),$4.99
03/22/23,JAN230413,DARK HORSE COMICS,Order And Outrage #1 (Of 4)(Cover B Jim Starlin),$4.99
03/22/23,NOV220485,DARK HORSE COMICS,Overwatch New Blood HC,$24.99
03/22/23,NOV220465,DARK HORSE COMICS,Parasomnia Volume 2 The Dreaming God TP,$19.99
03/22/23,NOV220438,DARK HORSE COMICS,Powers Volume 3 TP,$29.99
03/22/23,NOV220472,DARK HORSE COMICS,Shadow Regent Novel SC,$19.99
03/22/23,NOV220484,DARK HORSE COMICS,Usagi Yojimbo Saga Volume 7 TP (2nd Edition),$29.99 
03/22/23,NOV220478,DARK HORSE COMICS,War Birds TP,$19.99 
03/22/23,1222DC862,DC COMICS,Batman And The Joker The Deadly Duo #4 (Of 7)(2nd Printing Cover A Marc Silvestri),$4.99
03/22/23,0123DC044,DC COMICS,Batman One Bad Day Ra's al Ghul #1 (One Shot)(Cover A Ivan Reis & Danny Miki),$7.99
03/22/23,0123DC045,DC COMICS,Batman One Bad Day Ra's al Ghul #1 (One Shot)(Cover B Jim Lee Scott Williams & Alex Sinclair),$7.99
03/22/23,0123DC046,DC COMICS,Batman One Bad Day Ra's al Ghul #1 (One Shot)(Cover C Bill Sienkiewicz),AR
03/22/23,0123DC047,DC COMICS,Batman One Bad Day Ra's al Ghul #1 (One Shot)(Cover D Bruno Redondo),AR
03/22/23,0123DC048,DC COMICS,Batman One Bad Day Ra's al Ghul #1 (One Shot)(Cover E Brian Bolland),AR
03/22/23,0123DC049,DC COMICS,Batman One Bad Day Ra's al Ghul #1 (One Shot)(Cover F Giuseppe Camuncoli & Arif Prianto Premium Variant),AR
03/22/23,0123DC050,DC COMICS,Batman One Bad Day Ra's al Ghul #1 (One Shot)(Cover G Giuseppe Camuncoli & Arif Prianto Premium Lineup Variant),AR
03/22/23,0123DC129,DC COMICS,Batman Superman World's Finest #13 (Cover A Dan Mora),$3.99
03/22/23,0123DC130,DC COMICS,Batman Superman World's Finest #13 (Cover B Christian Ward Card Stock Variant),$4.99
03/22/23,0123DC131,DC COMICS,Batman Superman World's Finest #13 (Cover C Jesus Merino & Adriano Lucas Shazam Fury Of The Gods Movie Card Stock Variant),$4.99
03/22/23,0123DC132,DC COMICS,Batman Superman World's Finest #13 (Cover D Fico Ossio Card Stock Variant),AR
03/22/23,0123DC133,DC COMICS,Batman Superman World's Finest #13 (Cover E Baldemar Rivas Card Stock Variant),AR
03/22/23,0123DC143,DC COMICS,Black Adam #9 (Of 12)(Cover A Irvin Rodriguez),$3.99
03/22/23,0123DC144,DC COMICS,Black Adam #9 (Of 12)(Cover B Tiago Da Silva Card Stock Variant),$4.99
03/22/23,0123DC145,DC COMICS,Black Adam #9 (Of 12)(Cover C John Giang Card Stock Variant),$4.99
03/22/23,0123DC146,DC COMICS,Black Adam #9 (Of 12)(Cover D Ibrahim Moustafa Card Stock Variant),AR
03/22/23,0123DC151,DC COMICS,Catwoman #53 (Cover A David Nakayama),$3.99
03/22/23,0123DC152,DC COMICS,Catwoman #53 (Cover B Sergio Acuna Card Stock Variant),$4.99
03/22/23,0123DC153,DC COMICS,Catwoman #53 (Cover C Sweeney Boo Card Stock Variant),$4.99
03/22/23,0123DC154,DC COMICS,Catwoman #53 (Cover D Rian Gonzales Card Stock Variant),AR
03/22/23,0123DC155,DC COMICS,Catwoman #53 (Cover E Sweeney Boo Foil Variant),AR
03/22/23,0123DC819,DC COMICS,Catwoman #53 (Cover F Qistina Khalidah International Women's Day Card Stock Variant),AR
03/22/23,1222DC175,DC COMICS,DCeased War Of The Undead Gods #7 (Of 8)(Cover A Howard Porter),$3.99
03/22/23,1222DC176,DC COMICS,DCeased War Of The Undead Gods #7 (Of 8)(Cover B Ben Oliver Homage Card Stock Variant),$4.99
03/22/23,1222DC177,DC COMICS,DCeased War Of The Undead Gods #7 (Of 8)(Cover C Kael Ngu Acetate Card Stock Variant),$4.99
03/22/23,1222DC178,DC COMICS,DCeased War Of The Undead Gods #7 (Of 8)(Cover D Francesco Mattina Card Stock Variant),AR
03/22/23,1222DC179,DC COMICS,DCeased War Of The Undead Gods #7 (Of 8)(Cover E Sun Khamunaki Card Stock Variant),AR
03/22/23,0123DC095,DC COMICS,DC's Legion Of Bloom #1 (One Shot)(Cover A Juan Gedeon),$9.99
03/22/23,0123DC096,DC COMICS,DC's Legion Of Bloom #1 (One Shot)(Cover B Derrick Chew),$9.99
03/22/23,0123DC097,DC COMICS,DC's Legion Of Bloom #1 (One Shot)(Cover C Mike Perkins),$9.99
03/22/23,0123DC098,DC COMICS,DC's Legion Of Bloom #1 (One Shot)(Cover D Vasco Georgiev),AR
03/22/23,0123DC088,DC COMICS,Flash #795 (Cover A Taurin Clarke)(One-Minute War),$3.99
03/22/23,0123DC089,DC COMICS,Flash #795 (Cover B David Nakayama Card Stock Variant)(One-Minute War),$4.99
03/22/23,0123DC090,DC COMICS,Flash #795 (Cover C Marco Dalfonso Card Stock Variant)(One-Minute War),$4.99
03/22/23,0123DC091,DC COMICS,Flash #795 (Cover D Eleonora Carlini Card Stock Variant)(One-Minute War),AR
03/22/23,0123DC092,DC COMICS,Flash #795 (Cover E Taurin Clarke Foil Variant)(One-Minute War),AR
03/22/23,0123DC161,DC COMICS,G.C.P.D. The Blue Wall #6 (Of 6)(Cover A Reiko Murakami),$3.99
03/22/23,0123DC162,DC COMICS,G.C.P.D. The Blue Wall #6 (Of 6)(Cover B Francesco Francavilla Card Stock Variant),$4.99
03/22/23,0123DC166,DC COMICS,Harley Quinn The Animated Series Legion Of Bats #6 (Of 6)(Cover A Yoshi Yoshitani),$3.99
03/22/23,0123DC167,DC COMICS,Harley Quinn The Animated Series Legion Of Bats #6 (Of 6)(Cover B Dan Hipp Card Stock Variant),$4.99
03/22/23,0123DC168,DC COMICS,Harley Quinn The Animated Series Legion Of Bats #6 (Of 6)(Cover C Dominike Domo Stanton Card Stock Variant),AR
03/22/23,1222DC249,DC COMICS,Harley Quinn Volume 3 Verdict HC (2021),$24.99
03/22/23,1222DC863,DC COMICS,Lazarus Planet Next Evolution #1 (One Shot)(2nd Printing Cover A David Marquez),$4.99
03/22/23,1222DC101,DC COMICS,Milestone 30th Anniversary Special #1 (One Shot)(Cover A Denys Cowan),$9.99
03/22/23,1222DC102,DC COMICS,Milestone 30th Anniversary Special #1 (One Shot)(Cover B Nikolas Draper-Ivey),$9.99
03/22/23,1222DC103,DC COMICS,Milestone 30th Anniversary Special #1 (One Shot)(Cover C Christopher Jones),$9.99
03/22/23,1222DC104,DC COMICS,Milestone 30th Anniversary Special #1 (One Shot)(Cover D Scott Jeralds),$9.99
03/22/23,1222DC105,DC COMICS,Milestone 30th Anniversary Special #1 (One Shot)(Cover E Bill Sienkiewicz),AR
03/22/23,1222DC106,DC COMICS,Milestone 30th Anniversary Special #1 (One Shot)(Cover F Nikolas Draper-Ivey Foil Variant),AR
03/22/23,1222DC254,DC COMICS,Multiversity Teen Justice TP,$16.99
03/22/23,0123DC177,DC COMICS,Nightwing #102 (Cover A Bruno Redondo),$4.99
03/22/23,0123DC178,DC COMICS,Nightwing #102 (Cover B Travis Moore Card Stock Variant),$5.99
03/22/23,0123DC179,DC COMICS,Nightwing #102 (Cover C Jamal Campbell Card Stock Variant),$5.99
03/22/23,0123DC180,DC COMICS,Nightwing #102 (Cover D Vasco Georgiev Card Stock Variant),AR
03/22/23,1222DC256,DC COMICS,Power Girl Power Trip TP,$39.99
03/22/23,1222DC257,DC COMICS,Robin Volume 3 Secrets And Shadows TP,$19.99
03/22/23,0123DC012,DC COMICS,Superman #2 (Cover A Jamal Campbell),$4.99
03/22/23,0123DC013,DC COMICS,Superman #2 (Cover B Tony S Daniel Card Stock Variant),$5.99
03/22/23,0123DC014,DC COMICS,Superman #2 (Cover C Gabriel Rodriguez Card Stock Variant),$5.99
03/22/23,0123DC015,DC COMICS,Superman #2 (Cover D Jonboy Meyers Card Stock Variant,$5.99
03/22/23,0123DC016,DC COMICS,Superman #2 (Cover E Nathan Szerdy Card Stock Variant),$5.99
03/22/23,0123DC017,DC COMICS,Superman #2 (Cover F Juanjo Lopez Card Stock Variant),AR
03/22/23,0123DC018,DC COMICS,Superman #2 (Cover G Rahzzah Card Stock Variant),AR
03/22/23,0123DC019,DC COMICS,Superman #2 (Cover H Jamal Campbell Foil Variant),AR
03/22/23,0123DC850,DC COMICS,Superman #2 (Cover I Jamal Campbell Design Card Stock Variant),AR
03/22/23,0123DC102,DC COMICS,Swamp Thing Green Hell #3 (Of 3)(Cover A Doug Mahnke),$6.99
03/22/23,0123DC103,DC COMICS,Swamp Thing Green Hell #3 (Of 3)(Cover B Christian Ward),$6.99
03/22/23,0123DC104,DC COMICS,Swamp Thing Green Hell #3 (Of 3)(Cover C Travel Foreman),AR
03/22/23,0123DC038,DC COMICS,Wonder Woman #797 (Cover A Yanick Paquette)(Revenge Of The Gods),$4.99
03/22/23,0123DC039,DC COMICS,Wonder Woman #797 (Cover B Babs Tarr Card Stock Variant)(Revenge Of The Gods),$5.99
03/22/23,0123DC040,DC COMICS,Wonder Woman #797 (Cover C Joelle Jones Card Stock Variant)(Revenge Of The Gods),$5.99
03/22/23,0123DC041,DC COMICS,Wonder Woman #797 (Cover D Pop Mhan Shazam Fury Of The Gods Movie Card Stock Variant)(Revenge Of The Gods),$5.99
03/22/23,0123DC042,DC COMICS,Wonder Woman #797 (Cover E Zu Orzu Card Stock Variant)(Revenge Of The Gods),AR
03/22/23,0123DC043,DC COMICS,Wonder Woman #797 (Cover F Yanick Paquette Foil Variant)(Revenge Of The Gods),AR
03/22/23,0123DC820,DC COMICS,Wonder Woman #797 (Cover G Jasmin Darnell International Women's Day Card Stock Variant)(Revenge Of The Gods),AR
03/22/23,DEC221809,DIGITAL MANGA DISTRIBUTION,Mr. Mini-Mart GN (New Printing),$14.95 
03/22/23,DEC221256,DRAWN AND QUARTERLY,Harvey Knight's Odyssey GN,$24.95 
03/22/23,NOV221439,DYNAMIC FORCES,Batman Spawn #1 (One Shot)(CGC Graded Edition),AR
03/22/23,SEP221554,DYNAMIC FORCES,Dark Crisis Worlds Without A Justice League Green Lantern #1 (One Shot)(Phillip Kennedy Johnson Signed Edition),AR
03/22/23,JUN221491,DYNAMIC FORCES,Deadly Neighborhood Spider-Man #1 (Of 5)(Rahzzah Signed Edition),AR
03/22/23,JUN221492,DYNAMIC FORCES,Deadly Neighborhood Spider-Man #1 (Of 5)(Rahzzah Silver Signature Edition),AR
03/22/23,DEC221293,DYNAMIC FORCES,Flash #123 Facsimile (CGC Graded Edition),AR
03/22/23,DEC221279,DYNAMIC FORCES,Incredible Hulk #1 Facsimile (CGC Graded Edition),AR
03/22/23,JUN221513,DYNAMIC FORCES,Predator #1 (Rahzzah Signed Edition),AR
03/22/23,JAN230720,DYNAMITE ENTERTAINMENT,Cherish #5 (Cover I Stuart Sayger Virgin Variant),AR
03/22/23,JAN230631,DYNAMITE ENTERTAINMENT,Darkwing Duck #3 (Cover R Lesley Leirix Li Virgin Variant),AR
03/22/23,JAN230632,DYNAMITE ENTERTAINMENT,Darkwing Duck #3 (Cover S Mirka Andolfo Virgin Variant),AR
03/22/23,JAN230557,DYNAMITE ENTERTAINMENT,Dejah Thoris Volume 4 #1 (Cover P Lesley Leirix Li Virgin Variant),AR
03/22/23,JAN230558,DYNAMITE ENTERTAINMENT,Dejah Thoris Volume 4 #1 (Cover Q Joseph Michael Linsner Virgin Variant),AR
03/22/23,DEC220557,DYNAMITE ENTERTAINMENT,Draculina Blood Simple #1 (Cover P Christopher Priest Atlas Signature Edition),AR
03/22/23,JAN230676,DYNAMITE ENTERTAINMENT,Draculina Blood Simple #2 (Cover K Jay Anacleto Virgin Variant),AR
03/22/23,JAN230677,DYNAMITE ENTERTAINMENT,Draculina Blood Simple #2 (Cover L Joseph Michael Linsner Virgin Variant),AR
03/22/23,JAN230638,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover A David Nakayama),$3.99
03/22/23,JAN230639,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover B Amanda Conner),$3.99
03/22/23,JAN230640,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover C Lucio Parrillo),$3.99
03/22/23,JAN230641,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover D Lesley Leirix Li),$3.99
03/22/23,JAN230642,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover E Jae Lee),$3.99
03/22/23,JAN230643,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover F Tony Fleecs & Trish Forstner),$3.99
03/22/23,JAN230644,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover G George Kambadais),AR
03/22/23,JAN230645,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover H Amanda Conner Modern Icon Variant),AR
03/22/23,JAN230646,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover I David Nakayama Black & White Variant),AR
03/22/23,JAN230647,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover J George Kambadais Virgin Variant),AR
03/22/23,JAN230648,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover K Action Figure Variant),AR
03/22/23,JAN230649,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover L Tony Fleecs & Trish Forstner Virgin Variant),AR
03/22/23,JAN230650,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover M Amanda Conner Modern Icon Virgin Variant),AR
03/22/23,JAN230651,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover N Lucio Parrillo Virgin Variant),AR
03/22/23,JAN230652,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover O Lesley Leirix Li Virgin Variant),AR
03/22/23,JAN230653,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover P Jae Lee Virgin Variant),AR
03/22/23,JAN238122,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover T Ken Haeser),AR
03/22/23,JAN238123,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover U Ken Haeser Line Art Variant),AR
03/22/23,JAN238124,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover V Tony Fleecs & Trish Forstner Line Art Variant),AR
03/22/23,JAN238125,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover W Jae Lee Line Art Variant),AR
03/22/23,JAN238126,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover X Lucio Parrillo Black & White Variant),AR
03/22/23,JAN238127,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover Y George Kambadais Black & White Variant),AR
03/22/23,JAN238128,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover Z Lesley Leirix Li Black & White Variant),AR
03/22/23,JAN238129,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover ZA Ken Haeser Virgin Variant),AR
03/22/23,JAN238130,DYNAMITE ENTERTAINMENT,Gargoyles #4 (Cover ZB Amanda Conner Black & White Variant),AR
